building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
ยู ดีไลท์ @ บางซ่อน สเตชั่น,,,095-9320051,,,,529,1314 ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร,-,-,-,ตลิ่งชัน,13.817693,100.532524,-,-,-,-,-,,
พหลโยธิน พาร์ค,,คุณบอส,"086-340-9105, 0-2279-4111",,2,6,96,127 ถนนพหลโยธิน ซอยพหลโยธิน 14 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,-,-,-,บางซื่อ,13.786025,100.554116,-,-,-,-,-,,
แบงค์คอก เฟลิซ แอท กรุงธนบุรี สเตชั่น,,,"094-876-7911   0922258325,",,1,8,79,249/80 ซอยเจริญนคร 14 ถนนเจริญนคร แขวงคลองต้นไทร เขตคลองสาน กทม 10600,-,-,-,พญาไท,13.7224936,100.5052129,-,-,-,-,-,,
เคหะชุมชนและบริการชุมชน ลาดกระบัง 2/1,,,"064-242-2399, 0-2136-4557",,12,5,540,1389 อาคารชั้นเดียว แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ  10520,-,-,-,คลองสาน,13.721356,100.8226862,-,-,-,-,-,,
เดอะวิลล์ เอ็กซ์เพรส คอนโดมิเนียม,,,061-931-8932,,1,8,107,1929 ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900,-,-,-,ลาดกระบัง,13.83498,100.57285,-,-,-,-,-,,
เคหะชุมชนร่มเกล้า 7,,,"0-2557-0856, 062-375-3411",,2,5,384,350/26 ถนนร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กทม. 10250,-,-,-,จตุจักร,13.7591027,100.7267231,-,-,-,-,-,,
เวรี่ สุขุมวิท 72,,ผู้จัดการ,063-109-7835,,1,8,79,95 ม.1 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ 10270,-,-,-,ลาดกระบัง,13.6586264,100.5983937,-,-,-,-,-,,
ลุมพินี เพลส นราธิวาสราชนครินทร์,,,"0-2294-6877,094-996-1369",,2,8,233,200 ถนนนราธิวาสราชนครินทร์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,-,-,-,เมือง,13.6961098,100.5441128,-,-,-,-,-,,
นิช ไอดี แอท ปากเกร็ด สเตชั่น,,คุณอีฟ,090-976-3569,,1,35,857,188 หมู่ที่ 5 ตำบลปากเกร็ด  อำเภอปากเกร็ด จังหวัดนนทบุรี,-,-,-,ยานนาวา,13.911669,100.507947,-,-,-,-,-,,
พาร์ค วิลเลจ อ่อนนุช ซี,,, 0-2322-9786,,1,7,58,531/2 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,-,-,-,ปากเกร็ด,13.7214083,100.6812356,-,-,-,-,-,,
อโศกทาวเวอร์ส,,,0-2260-0211,,5,28,200,217/16 ซอยอโศก ถนนสุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ประเวศ,13.74563,100.561702,-,-,-,-,-,,
เดอะเทมโป พหลโยธิน,,คุุณเหมียว,0-2278-1002,,,8,79,9 ซอยพหลโยธิน 2 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,-,-,-,วัฒนา,13.776091,100.54463,-,-,-,-,-,,
ลอฟท์ ริเวอร์ เรสซิเดนซ์ 1,,คุณศราวุธ,"084-400-7480,  0-2443-3777",,,7,63,726/12 ถนนจรัญสนิทวงศ์ ซอย 94/1 แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,-,-,-,พญาไท,13.803969,100.514541,-,-,-,-,-,,
บจก.เย็นสบายดี เรสซิเด้นท์    (ลาดพร้าว 101),,,,,2,8,79,147 ถนนบางบอน 5 (สายเดิม) แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร,-,-,-,บางพลัด,13.79406,100.62915,-,-,-,-,-,,
ซิตี้ โฮม สุขุมวิท 2,,,"0-2398-3861 , 086-329-5532",,1,25,376,3199 ซอยสุขุมวิท 101/2 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพฯ  10260,-,-,-,หนองแขม,13.6814945,100.610988,-,-,-,-,-,,
เดอะลิ้งค์ 5,,,0-2741-4044,,1,8,122,200 ถนนสุขุมวิท 50 แขวงพระโขนง เขตพระโขนง กรุงเทพมหานคร 10260,-,-,-,บางนา,13.7058652,100.5984166,-,-,-,-,-,,
พรหมไพศาล คอนโดมิเนียม (เมืองไทยคอนโดเทล),,คุณอนุกูล,081-409-7458,,,8,82,188 ถนนลาดพร้าว 6 แขวงจอมพล เขตจตุจักร กทม.10900,-,-,-,พระโขนง,13.810959,100.56257,-,-,-,-,-,,
บางใหญ่สแควร์ A 1,,คุุณส้ม,"02-192-0202 , 082-278-6964",,,7,236,135 ม.12 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี  11110,-,-,-,จตุจักร,13.883484,100.410017,-,-,-,-,-,,
พราว ออฟ แจ้งวัฒนะ,,คุณนุ่น,"085-617-7537 , 091-885-0729",,1,7,132,1 หมู่ 4 ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี  11120,-,-,-,บางบัวทอง,13.9066498,100.5296759,-,-,-,-,-,,
เอ สเปซ อโศกรัชดา เซาธทาวเวอร์,,คุณสันติ ผจก.อาคาร,0-2248-1631,,2,14,554,614 อาคารเอฟ และ เลขที่ 614/555 อาคารจี ชั้น 1 ถนนอโศก-ดินแดง แขวงดินแดง เขตดินแดง กรุงเทพฯ,-,-,-,ปากเกร็ด,13.7565772,100.5597881,-,-,-,-,-,,
เซ็นทริค ซีน รัชวิภา,,คุณแอล,089-033-5939,,2,,704,301 ถนนรัชดาภิเษก แขวงวงศ์สว่าง เขตบางซื่อ กทม. 10800,-,-,-,ดินแดง,13.8305872,100.5325927,-,-,-,-,-,,
เดอะดิโพลแมท 39 ,,,0-2053-9960-61,,1,31,156,7 ซ.สุขุมวิท 9(พร้อมพงษ์) แขวงคลองตันเหนือ เขตวัฒนา กทม. 10110,-,-,-,บางซื่ื่อ,13.731367,100.570563,-,-,-,-,-,,
วิสซ์ดอม สเตชั่น รัชดา-ท่าพระ,,,"0-2067-3320, 0-2067-3330",,1,37,690,8 ถนนรัชดาภิเษก(ท่าพระ-ตากสิน) แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร  10600,-,-,-,วัฒนา,13.713748,100.4780429,-,-,-,-,-,,
บ้านพฤกษาสิริ 2,,,"0-2679-4070, 087-368-8312",,1,8,58,185 ซ.สวนพลู 6 แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพฯ 10120,-,-,-,ธนบุรี,13.7201713,100.5384807,-,-,-,-,-,,
บจก.ทรัพย์อุดม พร็อพเพอร์ตี้ โครงการ Sylva,,,0-2714-1441,,1,7,24,17 ซ.สุขุมวิท 61 แขวงคลองตันเหนือ เขตวัฒนา กทม.,-,-,-,สาทร,13.723752,100.582722,-,-,-,-,-,,
พี.เอส.ที. คอนโดวิลล์ ทาวเวอร์ 2,,,0-2681-3523,,2,22,814,120 ซอย นนทรี 14 ถนนนนทรี แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,-,-,-,วัฒนา,13.6923923,100.5386249,-,-,-,-,-,,
ไลฟ์ ปิ่นเกล้า,,คุณฝ้าย,061-881-7079   ' 02-8831638,,1,23,805,88 ถนนจรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร,-,-,-,ยานนาวา,13.776289,100.485394,-,-,-,-,-,,
ลุมพินี คอนโดทาวน์ รัตนาธิเบศร์,,คุุณเอก,085-920-9299,,8,8,1948,443/208 ถนนรัตนาธิเบศร์ ถนนรัตนาธิเบศร์ ต.บางกระสอ  อ.เมือง จ.นนทบุรี ,-,-,-,บางพลัด,13.866921,100.489897,-,-,-,-,-,,
ลุมพินี เซ็นเตอร์ ดี,,,0-2374-6301,,2,8,393,335/1 ซอย ศูนย์การค้าแฮปปี้แลนด์  ถ.แฮปปี้แลนด์ 1 แขวงคลองจั่น เขตบางกะปิ กทม.,-,-,-,เมือง,13.77442,100.6413,-,-,-,-,-,,
โฟคัส คอนโดมิเนียม,,,0-2931-1215,,1,10,288,1 ซอยโชคชัย 4(65) ถนนลาดพร้าว แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230,-,-,-,บางกะปิ,13.819854,100.595795,-,-,-,-,-,,
เอ็กซ์วีไอเดอะซิกซ์ทีน คอนโดมิเนียม,,,"080-446-3331, 089-922-5790",,1,8,76,588 ซอยริมคลองไผ่สิงโต ถนนพระราม 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,-,-,-,ลาดพร้าว,13.72523,100.561882,-,-,-,-,-,,
สินเศรษฐีคอนโดทาวน์ อาคาร A1-A2,,,0-2732-8181,,2,8,210,2328/1041 ซอยรามคำแหง 52/2 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240,-,-,-,คลองเตย,13.75883,100.64446,-,-,-,-,-,,
บราวน์ พหลโยธิน 67 คอนโดมิเนียม,,,"0-2020-7667, 088-439-3236",,1,8,174,369 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพ 10220,-,-,-,บางกะปิ,13.886645,100.603071,-,-,-,-,-,,
มอนเทอเรย์ เพลซ ,,,0-2663-1037-38,,1,25,196,398 ซอยคลองไผ่สิงโต ถนนพระราม 4 แขวงคลองเตย เขตคลองเตย กทม. 10110,-,-,-,บางเขน,13.723911,100.561718,-,-,-,-,-,,
จุลดิศแมนชั่น,,,"0-2255-5076, 095-446-9647",,1,18,373,19 ซอยเพชรบุรี 19 ถ.เพชรบุรี แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ 10400,-,-,-,คลองเตย,13.752297,100.53862,-,-,-,-,-,,
พอส สุขุมวิท 115,,,0-2016-3028,,2,8,310,899 หมู่ 4 ต.เทพารักษ์ อ.เมือง จ.สมุทรปราการ 10270,-,-,-,ราชเทวี,13.6365036,100.5944249,-,-,-,-,-,,
บจก.ออริจิ้น เวอร์ดิเคิล โครงการ Knigths Britbge Space รัชโยธิน,,,,,,,,496 หมู่ที่ 9 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ,-,-,-,เมือง,13.824977,100.566713,-,-,-,-,-,,
The key แจ้งวัฒนะ,,คุณวุฒิ,098-545-0448,,2,21,988,9 หมู่ที่ 4 ถนนแจ้งวัฒนะ ตำบลบางตลาด อำเภอปากเกร็ด จังหวัดนนทบุรี,-,-,-,เมือง,13.899898,100.54002,-,-,-,-,-,,
ฟีล คอนโดมิเนียม ปิ่นเกล้า-จรัญ 59,,คุณปิ๊ก ,091-996-4141,,2,5,79,24 ซอยจรัญสนิทวงศ์ 59 ถนนจรัญสนิทวงศ์ แขวงบางบำหรุ  เขตบางพลัด กรุงเทพมหานคร 10700,-,-,-,ปากเกร็ด,13.782256,100.487373,-,-,-,-,-,,
59 เฮริเทจ,,,"0-2381-5052-54, 098-297-6559",,,,288,18 ซ.สุขุมวิท 59 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,บางพลัด,13.7242995,100.5814682,-,-,-,-,-,,
ไฮฟ์ สาทร,,,"0-2438-4411, 081-937-2449",,1,31,363,888 ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร,-,-,-,วัฒนา,13.7212194,100.5023234,-,-,-,-,-,,
แชมเบอร์ส รามอินทรา,,,0-2115-1708,,3,7,152,66 ถนนรัชดา-รามอินทรา แขวงรามอินทรา เขตคันนายาว กรุงเทพฯ 10230,-,-,-,คลองสาน,13.81999,100.66264,-,-,-,-,-,,
ชาโตว์ อินทาวน์ สุขุุมวิท 64,,คุณสุทิศา (นิติ),"199-614-3819, 092-225-8325",,1,8,72,304 ซอยพงษ์เวชอนุสรณ์ ถ.สุขุมวิท 64 แขวงพระโขนงใต้  เขตพระโขนง กรุงเทพฯ  10200,-,-,-,คันนายาว,13.690278,100.604899,-,-,-,-,-,,
รีเจ้นท์โฮม 7/2,,คุุณกานน (ผจก.),"081-843-4707 ,0-2138-3499",,5,8,879,48 อาคาร G ชั้น 1 ซ.สรรพาวุธ  2 แขวงบางนาเหนือ เขตบางนา กทม. 10260,-,-,-,พระโขนง,13.6746874,100.6034883,-,-,-,-,-,,
มนเทียรทิพย์คอนโดทาวน์ (อาคาร 3),,,094-198-4445,,1,8,136,39/417 ถนนสุคนธสวัสดิ์ ซอยสุคนธสวัสดิ์ 38 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230,-,-,-,บางนา,13.83444,100.6294,-,-,-,-,-,,
ละติจูด คอนโด 1 และ 2,,,092-525-7159,,2,8,144,109 ม.7 ซ.บางนาการ์เด้นท์ 4 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,-,-,-,ลาดพร้าว,13.5958154,100.8350546,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 1,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/100 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,บางเสาธง,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 2,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/200 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 3,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/300 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 4,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/400 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 5,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/500 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 6,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/600 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 10,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/1000 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
เดอะคิทท์ ติวานนท์  อาคาร 11,,คุณแพรว,"094-909-6240, 0-2583-9008",,,,79,180/1100 หมู่ 5 ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,ปากเกร็ด,13.914335,100.506756,-,-,-,-,-,,
พฤกษาธานี 3,  ,คุณแต้ม,063-224-4561,,2,8,166,27 ซอยอ่อนนุช 55/2 แขวงประเวศ เขตประเวศ กรุงเทพฯ 10250,-,-,-,ปากเกร็ด,13.7208577,100.6694959,-,-,-,-,-,,
เดอะนิช โมโน พีค บางนา,,,970768070,,1,8,42,1464 ถนนเทพรัตน แขวงบางนาใต้ เขตบางนา กทม. 10260,-,-,-,ประเวศ,13.6630054,100.6367656,-,-,-,-,-,,
เดอะคิทท์ พลัส สุขุมวิท 113,,,082-249-3966,,2,8,425,912 หมู่ที่ 9 ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,-,-,-,บางนา,13.6482579,100.6010987,-,-,-,-,-,,
ลุมพินี เพลส รัชโยธิน,,คุณจันศรินทร์,0-2513-6100-1,,4,20,1827,1484  ถนนพหลโยธิน แขวงจันทรเกษม  เขตจตุจักร กรุงเทพมหานคร,-,-,-,สมุทรปราการ,13.8300908,100.5689895,-,-,-,-,-,,
รัตนโกสินทร์ ไอส์แลนด์ คอนโดมิเนียม,,คุุณศักดิ์ (ผจก.อาคาร),062-723-5344,,2,39,588,171/20 ถนนพระปิ่นเกล้า แขวงอรุณอัมรินทร์ เขตบางกอกน้อย กรุงเทพฯ 10700,-,-,-,จตุจักร,13.7679074,100.4818764,-,-,-,-,-,,
ฮอลล์มาร์ค แจ้งวัฒนะ,,คุณหมิว,095-165-5072,,2,8,427,45 หมู่ 4 ซอยแจ้งวัฒนะ-ปากเกร็ด 17 ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,-,-,บางกอกน้อย,13.907224,100.524915,-,-,-,-,-,,
รีเจ้นท์โฮม 15,,,"0-2552-2672 , 080-100-0116",,2,14,1355,102 ถนนแจ้งวัฒนะ แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ 10220,-,-,-,บางเขน,13.87795,100.59428,-,-,-,-,-,,
แฮปปี้คอนโด ลาดพร้าว 101 อาคาร เอช,,,"092-272-9188, 0-2187-0078",,1,7,144,797 ถนนลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ 10310,-,-,-,บางเขน,13.787979,100.62642,-,-,-,-,-,,
บราวน์ รัชดา 32,,คุณภีม ผจก.อาคาร,0-2004-3030,,2,7,202,117 ซอยสันนิบาตเทศบาล แขวงจันทรเกษม เขตจตุจักร กรุงเทพฯ  10900,-,-,-,วังทองหลาง,13.8182631,100.5848412,-,-,-,-,-,,
แฟลตประทวนอาคารที่พักอาศัยข้าราชการ สนง.ปลัดกระทรวง,,,"084-657-3390, 089-983-4882",,1,21,446,,-,-,-,จตุจักร,13.9382463,100.5490259,-,-,-,-,-,,
เมโทร พาร์ค สาทร 3-2,,คุณกุ๊ก ผจก.อาคาร,"099-064-0003, 0-2458-7060",,4,8,731,200 ถนนกัลปพฤกษ์  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ  10160,-,-,-,,13.71096,100.451939,-,-,-,-,-,,
ชาโตว์ อินทาวน์ จรัญ 96/2,,คุุณกานต์,090-993-8947,,2,8,406,152 ซอยจรัญสนิทวงศ์ 96/2 แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,-,-,-,ภาษีเจริญ,13.807808,100.512857,-,-,-,-,-,,
โนเบิล รีเฟลกซ์,,คุณม่อน ผจก.อาคาร,"086-365-1574, 0-2619-8595",,1,20,205,81 ซอยพหลโยธิน 7 (ซอยอารีย์) ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร,-,-,-,บางพลัด,13.781851,100.542828,-,-,-,-,-,,
รีเจ้นท์โฮม 5,,,"0-2167-5016, 086-332-4119",,2,8,333,"35, 37 ซอยโชคชัยร่วมมิตร 16/27 แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900",-,-,-,พญาไท,13.800255,100.571125,-,-,-,-,-,,
เคหะชุมชนร่มเกล้า 5 อาคาร 33-36,,ผจก.คุณย๊ะ,0-2543-0346,,4,5,535,341 ถนนเคหะร่มเกล้า ซ.31 แขวงคลองสองต้นนุ่น เขตลาดกระบัง กทม 10520,-,-,-,จตุจักร,13.7586362,100.7296996,-,-,-,-,-,,
ไนท์บริดจ์ สกายซิตี้ สะพานใหม่,,,"0-2042-9767, 095-963-2740",,1,15,490,250 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,-,-,-,ลาดกระบัง,13.887374,100.604383,-,-,-,-,-,,
เดอะวัน พลัสดี คอนโดมิเนียม,,,"097-242-3653, 0-2087-0026 ต่อ 201",,2,8,242,165 ซอยรามคำแหง 42 แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10260,-,-,-,บางเขน,13.753366,100.640655,-,-,-,-,-,,
ลุมพินี วิลล์ ราษฏร์บูรณะ-ริเวอร์วิว ,,,086-367-4082    02-490-2001-2,,2,29,1028,9 ซอยราษฏร์บูรณะ ต.บางปะกอก เขตราษฏร์บูรณะ กรุงเทพมหานคร,-,-,-,บางกะปิ,13.687683,100.4994207,-,-,-,-,-,,
เดอะนิช ไอดี พระราม 2 เฟส 1,,,086-373-5752,,3,8,616,581/504 ถ.พระรามที่ 2 แขวงบางมาด เขตจอมทอง กรุงเทพฯ  10150,-,-,-,ราษฏร์บูรณะ,13.678724,100.468825,-,-,-,-,-,,
เอสแอนด์เอส สุขุมวิท,,,"0-2173-0001-3, 086-975-2112",,2,22,819,188 ถนนสุขุมวิท ซอยสุขุมวิท 101/1 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,-,-,-,จอมทอง,13.6839696,100.6154153,-,-,-,-,-,,
โว้ค คอนโดมิเนียม สุขุมวิท 31,,,"0-2259-9669, 089-980-2631",,1,8,74,69 ซอยสุขุมวิท 31 (สวัสดี) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,-,-,-,บางนา,13.741822,100.566683,-,-,-,-,-,,
ศุภาลัยปาร์ค สถานีตลาดพลู,,คุณพิเชษฐ์,095-327-5926,,1,34,788,11 ถ.ราชพฤกษ์(สายตากสิน-เพชรเกษม) แขวงตลาดพลู เขตธนบุรี กรุงเทพฯ  10600,-,-,-,วัฒนา,13.711-9029,100.4740595,-,-,-,-,-,,
บ้านเอราวัณ อาคาร 1,,คุณวนิดา,081-682-3734,,1,8,194,401/5  ซอยแจ้งวัฒนะ 10 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขคหลักสี่  กรุงเทพฯ  10210,-,-,-,ธนบุรี,13.8911354,100.579455,-,-,-,-,-,,
ลุมพินี เซ็นเตอร์ นวมินทร์,,,"0-2184-6118,098-273-5866",,3,8,442,821 ถนนแฮปปี้แลนด์สาย 1 แขวงคลองจั่น เขตบึงกุ่ม กรุงเทพมหานคร,-,-,-,หลักสี่,13.779476,100.42835,-,-,-,-,-,,
เดอะแบงค๊อค สุขุมวิท 43,,,0-2261-2735-7,,2,7,54,15 ซอยสุขุมวิท 43 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,-,-,-,บึงกุ่ม,13.730614,100.573146,-,-,-,-,-,,
บี รี พับบลิค สุขุมวิท 101/1,,,065-512-6191,,2,8,318,998 ซ.สุขุมวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260,-,-,-,วัฒนา,13.6840041,100.62495,-,-,-,-,-,,
ยูคอนโดแอดแยกเกษตร,,,"0-2561-0412, 090-957-3277",,1,8,161,1541 ซอยพหลโยธิน 34 ถนนพหลโยธิน แขวงเสนานิคม เขตจตุจักร กรุงเทพฯ 10900,-,-,-,พระโขนง,13.837765,100.582325,-,-,-,-,-,,
เซอริโอ้ สุขุมวิท 50 คอนโดมิเนียม,,,"0-2004-2280, 095-506-9209",,2,8,151,242 ซอยสุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ  10260,-,-,-,จตุจักร,13.7054688,100.5972753,-,-,-,-,-,,
เดอะ โมนาเวล คอนโด ,,คุณณา,098-247003,,2,8,185,99 ซอยเพชรเกษม 39 แขวงบางหว้า เขตภาษีเจริญ กทม. 10160,-,-,-,คลองเตย,13.711058,100.429764,-,-,-,-,-,,
บ้านสวนปาล์ม,,,062-394-2248,,2,7,337,219 ม.4 ถ.แจ้งวัฒนะ ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบรุี 11120,-,-,-,ภาษีเจริญ,13.90605,100.519044,-,-,-,-,-,,
กฤษสกนธ์ คอนโดวิลล์,,คุณอรชร,084-766-1656,,1,8,125,1354/153 แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,-,-,-,ปากเกร็ด,13.783657,100.481533,-,-,-,-,-,,
จอนนี่ ทาวเวอร์,,คุุณดา ผจก.อาคาร,0-2277-4283,,1,13,216,262 ถนนประชาอุทิศ แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,-,-,-,บางพลัด,13.773741,100.578275,-,-,-,-,-,,
บ้านเอราวัณ อาคาร B,,คุณวนิดา,081-682-3734,,1,8,194,401/5-6 ถนนแจ้งวัฒนะ ซอยแจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กทม. 10210,-,-,-,ห้วยขวาง,13.891354,100.579455,-,-,-,-,-,,
สีลม ซิตี้ รีสอร์ท,,,"0-2685-0500, 099-701-2790",,1,8,116,25 ซอยพิพัฒน์ ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร,-,-,-,หลักสี่่,13.7240866,100.5311935,-,-,-,-,-,,
คอนโดวัน ทองหล่อ สเตชั่น คอนโดมิเนียม,,,0-2713-6508,,1,8,132,26 ซ.สุขุมวิท 40 ถ.สุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110,-,-,-,บางรัก,13.721629,100.580422,-,-,-,-,-,,
โนเบิล รีดี,,คุณแอน,0-2617-0700,,1,23,271,8  ซอยอารีย์ 1 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,-,-,-,คลองเตย,13.780223,100.543616,-,-,-,-,-,,
ลุมพินี เซ็นเตอร์ อี,,,"0-2377-9395, 085-133-5627",,1,,360,557 ซอยศูนย์การค้าแฮปปี้แลนด์ ถนนแฮปปี้แลนด์ สาย 1 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร,-,-,-,พญาไท,13.777198,100.640674,-,-,-,-,-,,
ดี คอนโด รามคำแหง,,,0-2719-9338,,5,8,1120,15/1 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240,-,-,-,บางกะปิ,13.750904,100.606426,-,-,-,-,-,,
ยูทูคอนโดแอดแยกเกษตร,,,095-251-0546,,2,8,446,998 ซอยพหลโยธิน 34 ถนนพหลโยธิน แขวงเสนานิคม เขตจตุจักร กรุงเทพฯ,-,-,-,บางกะปิ,13.836474,100.581795,-,-,-,-,-,,
เซียล่า ศรีปทุม,,,"0-2005-6203-5, 065-534-0951",,1,28,903,2999 ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900,-,-,-,จตุุจักร,13.855926,100.584913,-,-,-,-,-,,
ลุมพินี เพลส พระราม 4-สาทร,,,02-3502895,,2,9,231,164 ซอยศรีบำเพ็ญ ถนนพระราม 4 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,-,-,-,จตุจักร,13.718479,100.549859,-,-,-,-,-,,
ริเวอร์ไซด์ เทาว์เวอร์ 2,,คุณปอย,"062-596-4690, 066-097-3788",,1,24,61,466/130 ถนนพระราม 3 ซอย 24 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ 10120,-,-,-,ยานนาวา,13.68701,100.51618,-,-,-,-,-,,
เดอะนิชไอดีพระรามสอง เฟส 2,,,063-597-1237,,2,8,322,581/900 ถ.พระรามที่ 2 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,-,-,-,บางคอแหลม,13.678836,100.468773,-,-,-,-,-,,
